Name,Position X,Position Y,Position Z
Point01,-16.60902,52.924476,-5
Point02,-18.293961,51.717237,-5
Point03,-17.508885,49.779232,-5
Point04,-15.898237,48.25228,-5
Point05,-14.453369,46.572699,-5
Point06,-13.758599,44.498139,-5
Point07,-14.576444,41.372214,-5
Point08,-16.069058,38.476447,-5
Point09,-17.405508,35.509009,-5
Point10,-18.404644,32.411684,-5
Point11,-18.811113,29.183347,-5
Point12,-19.116524,25.940521,-5
Point13,-19.363678,22.694885,-5
Point14,-19.081164,19.452446,-5
Point15,-18.629747,16.24124,-5
Point16,-26.523872,10.673248,-5
Point17,-33.389813,3.795626,-5
Point18,-39.134851,-4.041763,-5
Point19,-43.133144,-12.858344,-5
Point20,-43.73061,-22.442315,-5
Point21,-39.719897,-31.15555,-5
Point22,-33.522934,-38.620621,-5
Point23,-25.962705,-44.715577,-5
Point24,-17.137996,-48.758663,-5
Point25,-11.473483,-50.198339,-5
Point26,-5.665963,-50.841066,-5
Point27,0.171178,-51.189604,-5
Point28,6.019163,-51.377628,-5
Point29,11.233045,-50.997822,-5
Point30,16.437374,-50.438783,-5
Point31,21.543388,-49.302795,-5
Point32,26.233941,-47.009801,-5
Point33,34.159606,-42.507638,-5
Point34,40.593711,-36.009504,-5
Point35,45.5319,-28.355198,-5
Point36,47.785851,-19.52703,-5
Point37,46.94836,-10.466117,-5
Point38,42.893133,-2.30561,-5
Point39,37.106472,4.770756,-5
Point40,30.44781,11.05605,-5
Point41,23.193465,16.625122,-5
Point42,23.183871,20.157488,-5
Point43,23.823798,23.677092,-5
Point44,23.752121,27.243031,-5
Point45,23.188629,30.786227,-5
Point46,22.378944,34.276041,-5
Point47,21.04639,37.605434,-5
Point48,19.542448,40.862304,-5
Point49,18.860683,44.361358,-5
Point50,20.102268,47.658376,-5
Point51,21.125459,48.44401,-5
Point52,22.20568,49.153681,-5
Point53,22.741163,50.291762,-5
Point54,22.359047,51.50088,-5
Point55,21.214557,52.038423,-5
