Name,Position X,Position Y,Position Z
Point01,-18.787841,12.609507,92.022223
Point02,-20.336192,14.288856,91.417955
Point03,-20.445436,14.581514,89.112702
Point04,-19.942497,14.231554,86.768894
Point05,-19.548254,13.999143,84.387116
Point06,-19.249842,13.869455,81.983728
Point07,-18.769633,13.66437,78.069259
Point08,-18.376057,13.551648,74.141766
Point09,-18.055638,13.516717,70.205931
Point10,-17.713293,13.458294,66.274898
Point11,-17.435759,13.468847,62.335692
Point12,-17.294775,13.623659,58.393142
Point13,-17.27573,13.906741,54.454757
Point14,-17.544595,14.489013,50.573924
Point15,-18.317865,15.58975,46.867998
Point16,-20.880983,18.68171,41.81473
Point17,-23.250232,21.583016,36.58226
Point18,-25.182225,24.057302,30.906888
Point19,-27.135672,26.553314,25.2432
Point20,-28.484917,28.441119,19.203269
Point21,-28.034616,28.459016,12.801818
Point22,-26.217761,26.992919,6.95735
Point23,-22.85933,23.792038,2.530092
Point24,-18.651431,19.540633,0.112598
Point25,-13.984935,14.667762,-0.514153
Point26,-9.321015,9.802233,-1.201019
Point27,-4.651518,4.916567,-1.702671
Point28,0.014166,0.000978,-1.763374
Point29,4.533986,-4.758993,-1.8474
Point30,9.052561,-9.516965,-1.940333
Point31,13.53875,-14.282439,-1.492149
Point32,17.977761,-19.031435,-0.61168
Point33,21.945459,-23.451247,2.449221
Point34,24.064612,-26.120146,8.088757
Point35,25.41715,-28.027941,14.343269
Point36,24.906077,-28.001805,21.00525
Point37,23.152712,-26.640277,27.33835
Point38,20.919937,-24.751356,33.387943
Point39,18.000532,-22.088065,38.784425
Point40,14.939813,-19.267181,44.069597
Point41,11.630929,-16.159943,49.034571
Point42,10.243126,-14.964889,52.52224
Point43,9.153939,-14.10047,56.214218
Point44,8.274283,-13.464997,60.009866
Point45,7.562993,-13.011637,63.864769
Point46,7.076142,-12.799335,67.776465
Point47,6.888551,-12.904652,71.714552
Point48,6.902651,-13.222468,75.650052
Point49,6.91364,-13.536965,79.585084
Point50,6.893674,-13.819004,83.522514
Point51,7.027801,-14.133959,85.776547
Point52,7.268953,-14.559569,88.001876
Point53,7.619065,-15.097107,90.188517
Point54,7.353542,-14.987854,92.406797
Point55,6.024798,-13.669675,93.485893
