Name,Position X,Position Y,Position Z
Point01,12.317345,0,204.48832
Point02,13.918872,0,204.081294
Point03,14.881682,0,202.749105
Point04,15.01507,0,201.078059
Point05,15.06947,0,199.397827
Point06,15.203379,0,197.721515
Point07,15.776291,0,188.531865
Point08,16.519668,0,179.353054
Point09,17.56004,0,170.201865
Point10,18.504261,0,161.043721
Point11,19.156882,0,151.858615
Point12,20.763623,0,142.792631
Point13,22.357963,0,133.721743
Point14,25.067784,0,124.931309
Point15,28.299531,0,116.355807
Point16,40.16499,0,104.477819
Point17,51.482339,0,91.995081
Point18,62.900774,0,79.608313
Point19,73.017606,0,66.177272
Point20,78.927258,0,50.554594
Point21,76.391226,0,34.102387
Point22,66.66872,0,20.458545
Point23,53.925238,0,9.454418
Point24,39.688276,0,0.506187
Point25,29.838129,0,-0.901753
Point26,19.888707,0,-1.439112
Point27,9.923507,0,-1.31662
Point28,-0.025628,0,-0.762937
Point29,-10.563048,0,-0.481411
Point30,-21.114292,0,-0.472302
Point31,-31.654627,0,0.008612
Point32,-42.187236,0,0.500771
Point33,-57.094783,0,7.619295
Point34,-70.061183,0,17.822583
Point35,-80.140257,0,30.830911
Point36,-82.422804,0,46.992192
Point37,-76.816996,0,62.492027
Point38,-68.110968,0,76.56503
Point39,-57.625661,0,89.385685
Point40,-46.728051,0,101.864567
Point41,-35.904879,0,114.352716
Point42,-33.607082,0,122.471577
Point43,-32.048447,0,130.772848
Point44,-31.118048,0,139.16959
Point45,-30.348997,0,147.583392
Point46,-30.037685,0,156.023563
Point47,-30.128948,0,164.472216
Point48,-30.426963,0,172.91625
Point49,-30.668306,0,181.361039
Point50,-30.925886,0,189.805792
Point51,-30.944228,0,191.876464
Point52,-30.95464,0,193.947156
Point53,-31.005338,0,196.017282
Point54,-30.676705,0,198.041162
Point55,-29.088294,0,199.232456
