Name,Position X,Position Y,Position Z
Point01,-18.712859,11.557613,199.457509
Point02,-19.80011,12.287684,197.993486
Point03,-20.081998,12.483392,195.917976
Point04,-20.286973,12.627902,193.827582
Point05,-20.534559,12.800783,191.743845
Point06,-20.803473,12.987861,189.664096
Point07,-21.773909,13.666486,181.231465
Point08,-22.564209,14.225174,172.771553
Point09,-23.375632,14.797925,164.315356
Point10,-24.14982,15.345886,155.853112
Point11,-24.904737,15.881017,147.387567
Point12,-25.7039,16.445611,138.928011
Point13,-26.525963,17.025451,130.472018
Point14,-27.554939,17.74305,122.04905
Point15,-28.453665,18.373858,113.624532
Point16,-38.188033,24.892272,105.283961
Point17,-44.703003,29.279953,93.084017
Point18,-49.292485,32.389286,79.62595
Point19,-51.614311,33.99064,65.336755
Point20,-51.469682,33.949335,50.797641
Point21,-48.706796,32.161916,36.615334
Point22,-43.160429,28.514971,23.663639
Point23,-35.997721,23.786461,11.889728
Point24,-27.387988,18.087876,1.647275
Point25,-20.658077,13.608512,0.238754
Point26,-13.831888,9.061975,-0.374462
Point27,-6.993608,4.506287,-0.698492
Point28,-0.161334,-0.045746,-0.931135
Point29,6.682181,-4.606149,-0.931363
Point30,13.524058,-9.166487,-0.660713
Point31,20.327611,-13.70362,0.226054
Point32,27.047391,-18.187295,1.737616
Point33,35.295909,-23.724117,12.336014
Point34,41.37074,-27.819245,24.733549
Point35,47.364904,-31.86028,37.041983
Point36,49.940737,-33.630503,51.226549
Point37,49.951256,-33.692584,65.765006
Point38,47.655838,-32.21702,80.037542
Point39,43.118431,-29.244418,93.514487
Point40,36.48039,-24.866916,105.652393
Point41,26.937773,-18.540871,114.362957
Point42,25.748757,-17.777877,122.110023
Point43,24.629764,-17.061939,129.961284
Point44,23.592144,-16.400289,137.828972
Point45,22.547646,-15.734044,145.69381
Point46,21.571598,-15.113464,153.571824
Point47,20.58353,-14.484866,161.447764
Point48,19.702579,-13.927716,169.341414
Point49,18.752415,-13.324403,177.224369
Point50,17.890559,-12.77999,185.121365
Point51,17.674201,-12.643972,187.275443
Point52,17.442187,-12.497513,189.427203
Point53,17.266452,-12.388585,191.586357
Point54,17.046713,-12.250312,193.73989
Point55,16.101554,-11.626635,195.366448
