Name,Position X,Position Y,Position Z
Point01,-30.528376,8.112269,191.673467
Point02,-31.88718,8.690788,190.340003
Point03,-31.621214,8.630872,188.179262
Point04,-31.283491,8.541986,186.017177
Point05,-31.027824,8.486488,183.84479
Point06,-30.934182,8.496792,181.657919
Point07,-30.208739,8.361248,174.498025
Point08,-29.75219,8.334895,167.314587
Point09,-29.198687,8.269205,160.138096
Point10,-28.67784,8.216757,152.9596
Point11,-28.316291,8.228911,145.771043
Point12,-28.039491,8.275323,138.582155
Point13,-27.831021,8.349421,131.390103
Point14,-27.925423,8.545981,124.195463
Point15,-29.663765,9.399516,117.337932
Point16,-40.081928,13.821881,107.714943
Point17,-48.079916,17.328373,95.26518
Point18,-54.430146,20.192843,81.729074
Point19,-57.646449,21.81761,66.972569
Point20,-59.452708,22.879482,51.899317
Point21,-56.205769,21.887528,37.352035
Point22,-50.07051,19.710415,23.615361
Point23,-41.556999,16.536619,11.491691
Point24,-31.003994,12.493291,1.424183
Point25,-23.324622,9.418799,0.10165
Point26,-15.552136,6.288772,-0.407834
Point27,-7.770624,3.149572,-0.66631
Point28,0.010118,0.004255,-0.632837
Point29,6.552377,-2.646923,-0.309047
Point30,13.08448,-5.299128,0.247869
Point31,19.59187,-7.94665,1.045689
Point32,26.01023,-10.568727,2.322047
Point33,37.148282,-15.294097,12.492889
Point34,45.842075,-19.089517,25.293241
Point35,51.328795,-21.631399,40.028321
Point36,53.656452,-22.918557,55.763027
Point37,51.069739,-22.219068,71.47461
Point38,46.291121,-20.620758,86.597362
Point39,37.771695,-17.460716,99.454299
Point40,27.592246,-13.602449,111.070013
Point41,16.031934,-9.122602,119.801443
Point42,13.705209,-8.32975,126.500286
Point43,12.595295,-8.036981,133.576596
Point44,11.36045,-7.693258,140.631821
Point45,10.131598,-7.351981,147.688193
Point46,8.932044,-7.022652,154.749381
Point47,8.096342,-6.841629,161.867644
Point48,7.327994,-6.688012,168.994269
Point49,6.746577,-6.610323,176.13817
Point50,6.359582,-6.611457,183.293289
Point51,6.429576,-6.688379,185.502197
Point52,6.337266,-6.699712,187.711321
Point53,6.253499,-6.714501,189.920619
Point54,6.114977,-6.706724,192.11011
Point55,4.467414,-6.065211,193.215962
