Name,Position X,Position Y,Position Z
Point01,-38.139592,4.342974,124.2819
Point02,-39.766644,4.605136,122.957634
Point03,-39.414259,4.57771,120.781596
Point04,-38.728119,4.499183,118.652758
Point05,-38.223812,4.44889,116.465081
Point06,-37.648477,4.387659,114.292835
Point07,-36.60431,4.300402,108.347576
Point08,-35.480904,4.200988,102.415505
Point09,-34.61684,4.141359,96.440437
Point10,-34.002729,4.119945,90.434636
Point11,-33.281613,4.082197,84.43982
Point12,-32.473893,4.031209,78.455593
Point13,-31.894176,4.015033,72.447334
Point14,-31.296,3.996029,66.441795
Point15,-30.879528,4.004244,60.461044
Point16,-35.95578,4.857392,53.373957
Point17,-41.465331,5.772171,46.620846
Point18,-47.175337,6.71547,40.021721
Point19,-51.46192,7.455193,32.41837
Point20,-53.376841,7.846556,23.911141
Point21,-49.798636,7.397667,16.112457
Point22,-43.674909,6.544655,9.879626
Point23,-36.999455,5.600854,4.254526
Point24,-29.517551,4.520341,-0.146067
Point25,-22.16199,3.404011,0.06379
Point26,-14.846611,2.284538,1.047828
Point27,-7.4872,1.164477,1.521793
Point28,-0.11861,0.044344,1.885147
Point29,5.92989,-0.865477,1.374685
Point30,11.963483,-1.771337,0.721239
Point31,18.000414,-2.678205,0.109953
Point32,24.0605,-3.593309,-0.104485
Point33,32.555706,-4.930798,4.181972
Point34,39.985923,-6.128397,10.262092
Point35,46.869705,-7.250551,16.954618
Point36,50.45236,-7.897141,25.6874
Point37,47.68812,-7.587819,34.85461
Point38,42.362964,-6.877057,42.876639
Point39,35.766868,-5.961753,49.884521
Point40,28.841423,-4.992555,56.554908
Point41,22.856763,-4.176349,64.108936
Point42,22.195928,-4.146762,70.022665
Point43,21.759874,-4.151781,75.983991
Point44,21.253672,-4.146114,81.939974
Point45,20.726081,-4.137188,87.894293
Point46,20.515511,-4.176493,93.86747
Point47,20.473419,-4.241351,99.844156
Point48,20.205035,-4.271882,105.815758
Point49,20.330988,-4.36217,111.791004
Point50,20.635592,-4.479432,117.759688
Point51,20.818422,-4.533123,119.941636
Point52,21.028376,-4.590893,122.121259
Point53,21.252749,-4.650821,124.298751
Point54,21.598605,-4.728779,126.445523
Point55,20.112564,-4.519169,127.739049
