Name,Position X,Position Y,Position Z
Point01,15.026687,0,193.356185
Point02,17.561958,0,191.958997
Point03,17.23744,0,188.969686
Point04,15.991978,0,186.161968
Point05,14.46613,0,183.491935
Point06,13.57803,0,180.573602
Point07,14.005507,0,174.561925
Point08,15.051656,0,168.61855
Point09,15.912469,0,162.645376
Point10,16.610866,0,156.651199
Point11,16.978732,0,150.627568
Point12,17.277335,0,144.600295
Point13,17.643305,0,138.577008
Point14,18.362213,0,132.585649
Point15,18.960336,0,126.627807
Point16,34.104382,0,115.87382
Point17,48.740625,0,104.344881
Point18,61.565705,0,90.831213
Point19,71.114587,0,74.892243
Point20,74.659933,0,56.751371
Point21,69.615134,0,39.03967
Point22,59.064733,0,23.713663
Point23,46.590653,0,9.914364
Point24,30.707149,0,0.459021
Point25,23.073755,0,-0.515432
Point26,15.380406,0,-0.848688
Point27,7.701736,0,-1.124556
Point28,0.010335,0,-1.498722
Point29,-10.324613,0,-1.914718
Point30,-20.652923,0,-1.837715
Point31,-30.960327,0,-1.043336
Point32,-41.050451,0,1.122948
Point33,-55.148393,0,11.872982
Point34,-66.083125,0,25.89477
Point35,-75.167749,0,41.215129
Point36,-78.748271,0,58.434281
Point37,-74.610861,0,75.65959
Point38,-65.140491,0,90.684803
Point39,-53.221863,0,103.926458
Point40,-39.797274,0,115.623535
Point41,-25.774481,0,126.525148
Point42,-25.75934,0,132.242985
Point43,-26.04251,0,137.992119
Point44,-26.186179,0,143.746844
Point45,-26.396761,0,149.499349
Point46,-26.571693,0,155.252929
Point47,-26.617172,0,161.008332
Point48,-26.754098,0,166.761839
Point49,-26.732456,0,172.516049
Point50,-27.039543,0,178.25572
Point51,-28.557935,0,180.68163
Point52,-30.578901,0,182.764251
Point53,-32.110887,0,185.22796
Point54,-32.890683,0,187.996931
Point55,-31.037856,0,189.855334
