Name,Position X,Position Y,Position Z
Point01,-4,116.912582,12.886991
Point02,-4,116.183546,13.702652
Point03,-4,115.01063,13.81359
Point04,-4,113.832588,13.709932
Point05,-4,112.661942,13.539146
Point06,-4,111.490234,13.376152
Point07,-4,101.21067,12.527043
Point08,-4,90.931198,11.725204
Point09,-4,80.62373,11.331
Point10,-4,70.318519,10.888316
Point11,-4,60.005151,10.716572
Point12,-4,49.690069,10.739499
Point13,-4,39.406914,11.465682
Point14,-4,29.148365,12.522213
Point15,-4,18.976163,14.171
Point16,-4,7.675752,25.203564
Point17,-4,-3.808693,36.079298
Point18,-4,-16.54981,45.500634
Point19,-4,-30.129556,53.654551
Point20,-4,-44.754303,59.727591
Point21,-4,-60.230521,62.912077
Point22,-4,-73.811928,56.162683
Point23,-4,-80.487042,41.843679
Point24,-4,-85.653246,26.89929
Point25,-4,-87.934138,16.55089
Point26,-4,-89.588312,6.084441
Point27,-4,-90.132701,-4.502471
Point28,-4,-90.351446,-15.104112
Point29,-4,-90.258987,-22.286673
Point30,-4,-90.044768,-29.467023
Point31,-4,-89.518042,-36.630437
Point32,-4,-88.693237,-43.766384
Point33,-4,-84.372456,-61.7886
Point34,-4,-78.169356,-79.257335
Point35,-4,-69.105709,-95.253515
Point36,-4,-51.673336,-99.034545
Point37,-4,-34.248033,-92.850083
Point38,-4,-18.51581,-83.073195
Point39,-4,-4.308421,-71.14648
Point40,-4,8.991669,-58.26832
Point41,-4,21.09825,-44.256544
Point42,-4,30.875758,-41.809138
Point43,-4,40.804574,-39.757557
Point44,-4,50.84734,-38.378268
Point45,-4,60.923983,-37.26149
Point46,-4,71.022457,-36.395788
Point47,-4,81.151678,-35.973263
Point48,-4,91.287057,-35.759873
Point49,-4,101.414543,-35.389447
Point50,-4,111.539734,-35.873355
Point51,-4,112.821382,-35.978317
Point52,-4,114.101697,-36.09886
Point53,-4,115.38586,-36.108159
Point54,-4,116.606199,-35.735715
Point55,-4,117.302234,-34.725318
