Name,Position X,Position Y,Position Z
Point01,-43.94403,21.510097,250.301817
Point02,-43.10151,21.018715,249.800363
Point03,-42.066391,20.716062,249.648586
Point04,-41.095096,20.818047,250.101437
Point05,-40.556205,21.256819,250.942118
Point06,-40.324544,21.810328,251.866259
Point07,-38.060499,23.944946,255.84732
Point08,-34.706777,25.539083,259.326414
Point09,-31.420313,27.173921,262.847813
Point10,-27.774347,28.571456,266.112628
Point11,-23.624326,29.529875,268.853602
Point12,-18.839737,29.688973,270.554926
Point13,-13.932467,29.509845,271.771951
Point14,-9.019798,28.302734,271.405218
Point15,-4.3284,26.67816,270.327319
Point16,8.677637,20.979433,265.496219
Point17,22.481447,16.043819,262.084791
Point18,37.386624,13.479905,262.666258
Point19,51.560207,13.815041,267.496153
Point20,63.737507,16.774133,275.765368
Point21,69.945202,23.392523,287.861571
Point22,71.940926,31.259878,300.60228
Point23,69.823077,39.699032,312.973082
Point24,68.278618,48.065758,325.406664
Point25,64.309529,53.266099,332.219081
Point26,58.02378,58.193702,337.905906
Point27,51.626989,63.0825,343.499093
Point28,45.143166,67.946708,349.027873
Point29,37.581293,73.464082,355.235945
Point30,30.011705,78.972964,361.428573
Point31,21.441538,84.026627,366.614663
Point32,10.636521,86.713772,367.470931
Point33,-2.543615,91.006159,370.080127
Point34,-15.985129,94.799538,371.840193
Point35,-29.774843,96.664925,370.52086
Point36,-43.185264,96.731061,366.542055
Point37,-53.259849,92.884916,357.544643
Point38,-56.90171,86.107077,345.983317
Point39,-56.213267,78.356352,334.239275
Point40,-54.251775,70.565344,322.820495
Point41,-49.066174,62.728541,312.312188
Point42,-48.740302,60.124682,308.395555
Point43,-49.734541,57.759091,304.444681
Point44,-51.21606,55.529024,300.554538
Point45,-53.315034,53.526959,296.828138
Point46,-56.158299,51.892156,293.44166
Point47,-59.476588,50.550376,290.362546
Point48,-63.325987,49.640963,287.788631
Point49,-67.197235,48.747464,285.232609
Point50,-71.355538,48.204892,283.130453
Point51,-72.855646,48.297991,282.817551
Point52,-74.368084,48.450875,282.5931
Point53,-75.855149,48.504747,282.223669
Point54,-77.081881,48.21026,281.396202
Point55,-77.110661,47.418882,280.166943
