Name,Position X,Position Y,Position Z
Point01,16.612047,1.088497,129.681411
Point02,18.028025,1.194145,128.76707
Point03,18.267985,1.213718,127.056607
Point04,17.967497,1.193367,125.323504
Point05,17.532824,1.163068,123.618309
Point06,17.268347,1.145329,121.932223
Point07,17.738566,1.186467,115.988338
Point08,18.081998,1.218264,110.017071
Point09,18.560825,1.260072,104.042313
Point10,18.595548,1.269069,98.052946
Point11,18.885707,1.296942,92.067384
Point12,19.155513,1.323315,86.078993
Point13,19.676854,1.368261,80.108087
Point14,20.008174,1.399177,74.12322
Point15,20.181168,1.41832,68.202572
Point16,26.572663,1.897877,61.57703
Point17,33.041386,2.383321,54.785521
Point18,38.639331,2.8052,47.247376
Point19,43.200629,3.151156,39.054926
Point20,44.449262,3.253342,29.842401
Point21,41.176267,3.020813,21.084334
Point22,36.067686,2.65165,13.212198
Point23,29.862946,2.200566,6.174938
Point24,22.826786,1.686812,0.267787
Point25,17.161855,1.268515,-0.143804
Point26,11.44683,0.84569,0.214003
Point27,5.720797,0.422475,0.177706
Point28,-0.000979,-0.000206,-0.063526
Point29,-5.457392,-0.40338,-0.204096
Point30,-10.915981,-0.806877,-0.193756
Point31,-16.374609,-1.210352,-0.206711
Point32,-21.759453,-1.6085,-0.10057
Point33,-29.342188,-2.175286,5.75671
Point34,-35.845454,-2.663688,12.925676
Point35,-40.928405,-3.048276,21.186657
Point36,-43.135481,-3.221475,30.554069
Point37,-41.496801,-3.110581,40.086097
Point38,-37.313646,-2.810775,48.844409
Point39,-31.432859,-2.384339,56.536513
Point40,-24.084049,-1.847847,62.790057
Point41,-15.996807,-1.255681,68.028352
Point42,-15.628458,-1.234373,73.541979
Point43,-15.018319,-1.19554,79.379606
Point44,-14.949741,-1.196774,85.250782
Point45,-14.94241,-1.202536,91.122765
Point46,-15.053949,-1.217084,96.993853
Point47,-15.062093,-1.22399,102.86602
Point48,-14.828347,-1.213009,108.730837
Point49,-14.700116,-1.209833,114.601323
Point50,-14.561297,-1.205863,120.462055
Point51,-14.942877,-1.236145,122.395648
Point52,-15.340488,-1.267611,124.329383
Point53,-15.842834,-1.306793,126.238337
Point54,-16.036093,-1.323173,128.189794
Point55,-14.709969,-1.226466,129.416435
