Name,Position X,Position Y,Position Z
Point01,-30.338815,3.167281,258.264819
Point02,-28.894542,3.692376,256.823948
Point03,-26.70406,4.101792,256.584133
Point04,-24.489059,4.467362,256.585102
Point05,-22.274201,4.810476,256.698848
Point06,-20.064323,5.128336,256.93542
Point07,-15.181763,5.784111,257.691955
Point08,-10.338109,6.383011,258.70212
Point09,-5.529055,6.942209,259.883157
Point10,-0.700383,7.52841,260.944729
Point11,4.170595,8.165549,261.785335
Point12,9.035922,8.80727,262.598216
Point13,13.95442,9.614959,262.620851
Point14,18.856383,10.446163,262.511536
Point15,23.482703,11.496513,261.071653
Point16,30.206991,13.005925,259.06556
Point17,37.372609,14.162417,259.20012
Point18,44.527904,15.199862,259.924609
Point19,51.620117,16.115543,261.208885
Point20,58.575534,16.873462,263.172732
Point21,65.378786,17.508069,265.630192
Point22,71.6876,17.844799,269.17473
Point23,77.517063,17.945235,273.50927
Point24,82.883676,17.863379,278.376019
Point25,83.721865,16.716943,284.835465
Point26,82.702046,15.264879,291.288949
Point27,81.54461,13.794867,297.718422
Point28,80.108826,12.292059,304.081699
Point29,78.372986,10.633832,310.977229
Point30,76.665529,8.977998,317.884289
Point31,73.842216,7.216557,324.395925
Point32,69.35852,5.39423,329.835253
Point33,62.527662,3.941881,331.465993
Point34,55.452527,2.691447,331.878834
Point35,48.347834,1.598698,331.474392
Point36,41.279497,0.612785,330.563023
Point37,34.414842,-0.117612,328.536158
Point38,27.716976,-0.71417,325.974899
Point39,21.33445,-1.109949,322.666031
Point40,15.303397,-1.324667,318.738675
Point41,10.126129,-1.20573,313.842695
Point42,6.198806,-1.381675,311.466878
Point43,2.086612,-1.648211,309.393022
Point44,-1.937565,-1.865421,307.144256
Point45,-6.186468,-2.226247,305.430939
Point46,-10.578174,-2.685925,304.096045
Point47,-14.841928,-3.045743,302.365334
Point48,-19.069411,-3.38125,300.542513
Point49,-23.290895,-3.714741,298.714541
Point50,-27.521391,-4.052915,296.902625
Point51,-29.801655,-4.251395,296.00745
Point52,-32.099147,-4.46224,295.160133
Point53,-34.415026,-4.687131,294.368169
Point54,-36.67506,-4.874494,293.433892
Point55,-37.645726,-4.62939,291.395836
