Name,Position X,Position Y,Position Z
Point01,15.938679,0.538819,129.665472
Point02,17.448352,0.59275,128.838278
Point03,17.785319,0.605157,127.125885
Point04,17.496885,0.595318,125.363766
Point05,17.042957,0.57958,123.635519
Point06,16.695801,0.567648,121.885761
Point07,17.264252,0.58933,115.887277
Point08,17.6263,0.603669,109.880666
Point09,18.103001,0.622088,103.870504
Point10,18.139142,0.624832,97.84584
Point11,18.463591,0.637835,91.827204
Point12,18.749482,0.649467,85.804658
Point13,19.272221,0.669524,79.798869
Point14,19.602765,0.682745,73.778965
Point15,20.128723,0.702898,67.848474
Point16,26.611285,0.935242,61.13006
Point17,33.052251,1.166124,54.337265
Point18,38.602231,1.365478,46.784931
Point19,43.068394,1.526419,38.569979
Point20,44.057776,1.563861,29.355016
Point21,40.638803,1.444277,20.673281
Point22,35.50552,1.263475,12.841181
Point23,29.25644,1.042753,5.865194
Point24,21.965256,0.784657,0.06519
Point25,16.487622,0.589755,-0.144824
Point26,10.988897,0.393972,0.182934
Point27,5.480461,0.197933,0.14281
Point28,-0.023637,0.002095,-0.09194
Point29,-5.419351,-0.189902,-0.25858
Point30,-10.817994,-0.382045,-0.255304
Point31,-16.216662,-0.574183,-0.271863
Point32,-21.608119,-0.766096,-0.161554
Point33,-29.514125,-1.048829,5.431914
Point34,-36.124464,-1.285821,12.56603
Point35,-41.297099,-1.471916,20.82271
Point36,-43.667899,-1.55856,30.189338
Point37,-42.105089,-1.505256,39.770435
Point38,-37.921618,-1.358492,48.56941
Point39,-32.055195,-1.151578,56.327752
Point40,-24.689516,-0.890953,62.630417
Point41,-16.52878,-0.601776,67.880746
Point42,-16.1276,-0.588889,73.633131
Point43,-15.524312,-0.568808,79.381611
Point44,-15.46352,-0.568043,85.163799
Point45,-15.466552,-0.56955,90.946595
Point46,-15.584574,-0.575149,96.728582
Point47,-15.60582,-0.577304,102.511765
Point48,-15.373112,-0.570419,108.287801
Point49,-15.252956,-0.567541,114.069232
Point50,-15.101359,-0.563543,119.848665
Point51,-15.418221,-0.575333,121.965667
Point52,-15.848329,-0.591148,124.064454
Point53,-16.393179,-0.611041,126.136093
Point54,-16.579528,-0.618185,128.251626
Point55,-14.978821,-0.561482,129.357304
