Name,Position X,Position Y,Position Z
Point01,-115.896313,-26.768399,309.79057
Point02,-113.644399,-26.962069,309.140545
Point03,-111.210217,-26.604629,309.338529
Point04,-108.831769,-26.096096,309.785072
Point05,-106.433487,-25.628234,310.163974
Point06,-104.099723,-25.044261,310.737185
Point07,-92.81709,-22.284234,313.407949
Point08,-81.419565,-19.722458,315.746227
Point09,-70.072296,-17.06551,318.243373
Point10,-58.613267,-14.604107,320.412812
Point11,-47.098673,-12.251286,322.401268
Point12,-35.550045,-9.974283,324.264076
Point13,-23.947657,-7.824079,325.917227
Point14,-12.189376,-6.131535,326.819463
Point15,-1.082616,-6.487308,324.565947
Point16,13.346698,-9.398494,317.74686
Point17,27.292275,-12.827223,310.178921
Point18,41.769205,-15.69485,303.421811
Point19,56.799064,-17.833241,297.739414
Point20,72.734626,-17.960344,295.115294
Point21,86.14763,-12.797083,301.28099
Point22,94.356545,-4.786691,312.761788
Point23,100.84675,3.570464,325.054831
Point24,107.127885,11.940404,337.399966
Point25,104.587253,16.257826,344.646524
Point26,102.271167,20.67167,352.012166
Point27,100.038863,25.102279,359.391714
Point28,98.023094,29.57643,366.807538
Point29,95.852946,33.735285,373.745822
Point30,93.354132,37.818801,380.614346
Point31,90.986701,41.93405,387.513325
Point32,88.922224,46.099798,394.4465
Point33,75.668547,50.775934,403.891403
Point34,61.82267,55.088737,412.848982
Point35,48.199512,59.579405,422.055336
Point36,32.030839,58.67171,423.070593
Point37,19.424446,51.759384,414.003027
Point38,8.180874,44.17921,403.667105
Point39,-1.073444,35.929942,391.96563
Point40,-9.2288,27.400037,379.651185
Point41,-18.037518,19.127416,367.844873
Point42,-27.921054,15.920983,364.252112
Point43,-38.392885,13.352738,361.762851
Point44,-48.810982,10.705299,359.139584
Point45,-59.463178,8.470377,357.207388
Point46,-70.319796,6.695146,356.036714
Point47,-81.157252,4.858585,354.765673
Point48,-91.954171,2.914231,353.317188
Point49,-102.799703,1.096558,352.077389
Point50,-113.562455,-0.929305,350.494193
Point51,-116.304895,-1.324781,350.282622
Point52,-119.057627,-1.68251,350.132597
Point53,-121.807503,-2.052845,349.962105
Point54,-124.562745,-2.392252,349.841576
Point55,-126.321404,-3.454064,348.421664
