Name,Position X,Position Y,Position Z
Point01,31.57284,14.556967,209.205725
Point02,32.462642,15.064244,208.82751
Point03,32.912497,15.332457,207.871158
Point04,32.78297,15.276326,206.772887
Point05,32.467368,15.114708,205.714964
Point06,32.189631,14.974635,204.643733
Point07,31.418791,14.665699,196.472568
Point08,31.47348,14.822789,188.250611
Point09,31.694399,15.07351,180.032064
Point10,31.77561,15.245567,171.808805
Point11,32.162721,15.589794,163.600376
Point12,32.471772,15.889899,155.400391
Point13,32.669091,16.127333,147.180893
Point14,32.711819,16.277709,138.957231
Point15,33.004645,16.568311,130.780586
Point16,42.461586,22.076745,119.140999
Point17,49.711344,26.371461,105.535572
Point18,53.838552,28.931649,90.285412
Point19,55.81851,30.290699,74.449631
Point20,54.75965,29.939253,58.477081
Point21,52.070769,28.66563,42.735105
Point22,48.065532,26.644669,27.349661
Point23,42.696628,23.846584,12.523967
Point24,34.004901,19.134809,0.370352
Point25,25.572975,14.405034,-1.077316
Point26,17.055745,9.613205,-1.614803
Point27,8.528701,4.80656,-1.547606
Point28,0.000637,-0.000974,-1.460015
Point29,-8.370339,-4.720474,-1.340102
Point30,-16.741559,-9.439187,-1.280314
Point31,-25.064469,-14.144172,-0.341615
Point32,-33.094161,-18.706662,2.078704
Point33,-40.79508,-23.252392,15.472638
Point34,-46.512534,-26.700079,30.154863
Point35,-49.722341,-28.750138,45.853889
Point36,-51.550208,-30.025877,61.846136
Point37,-51.428889,-30.205115,77.969206
Point38,-48.912641,-29.030646,93.832461
Point39,-43.503395,-26.211794,108.786295
Point40,-35.78476,-22.070004,122.344834
Point41,-25.734235,-16.580051,133.691353
Point42,-24.795006,-16.172321,141.608905
Point43,-24.268481,-15.999052,149.648328
Point44,-23.693005,-15.798141,157.684312
Point45,-23.123281,-15.600481,165.720789
Point46,-22.469673,-15.355428,173.749588
Point47,-21.661247,-15.022848,181.760456
Point48,-20.842102,-14.684212,189.77039
Point49,-20.285592,-14.49401,197.807641
Point50,-20.168595,-14.551691,205.856929
Point51,-20.274945,-14.625083,206.733035
Point52,-20.384713,-14.70039,207.608553
Point53,-20.362472,-14.701396,208.490192
Point54,-19.993685,-14.505308,209.255314
Point55,-19.29326,-14.115555,209.580116
