Name,Position X,Position Y,Position Z
Point01,31.340341,3.139193,174.673864
Point02,32.948005,3.431314,173.444776
Point03,33.056803,3.477806,171.234518
Point04,32.973688,3.491407,169.013332
Point05,33.096506,3.540406,166.795556
Point06,33.309991,3.604924,164.584539
Point07,32.977664,3.620261,158.811257
Point08,32.759023,3.655359,153.022407
Point09,32.529411,3.688553,147.234774
Point10,32.634064,3.779104,141.460769
Point11,32.463058,3.822421,135.670179
Point12,32.153425,3.841801,129.886007
Point13,31.640793,3.826072,124.115492
Point14,31.167976,3.817217,118.343325
Point15,30.884223,3.840887,112.572093
Point16,38.513465,5.300695,100.886088
Point17,45.819424,6.708137,88.939745
Point18,52.000714,7.930009,76.357723
Point19,56.955086,8.947584,63.229994
Point20,58.985157,9.47135,49.348824
Point21,58.97115,9.645153,35.322625
Point22,54.850737,9.104602,21.904447
Point23,47.755521,8.035226,9.828301
Point24,37.648091,6.412806,0.509563
Point25,28.484062,4.852438,-0.824874
Point26,19.225655,3.266519,-1.418408
Point27,9.960686,1.678101,-1.902952
Point28,0.687487,0.084339,-2.0748
Point29,-8.988514,-1.586138,-1.658271
Point30,-18.673498,-3.255754,-1.433277
Point31,-28.287737,-4.921461,-0.550332
Point32,-37.728259,-6.571313,1.450323
Point33,-46.189069,-8.165034,12.404036
Point34,-51.331323,-9.212555,25.341649
Point35,-54.178532,-9.87435,39.015767
Point36,-53.846058,-9.992929,53.00888
Point37,-52.105568,-9.867957,66.904155
Point38,-47.292445,-9.204214,80.005742
Point39,-39.930805,-8.086363,91.873038
Point40,-31.538961,-6.782001,103.007087
Point41,-22.433734,-5.347161,113.527747
Point42,-22.18406,-5.378299,119.426586
Point43,-21.844767,-5.394203,125.340384
Point44,-21.611334,-5.428388,131.259259
Point45,-21.368085,-5.460881,137.177881
Point46,-21.135541,-5.495223,143.096966
Point47,-20.857098,-5.521635,149.013684
Point48,-20.541107,-5.541561,154.928515
Point49,-20.147453,-5.548068,160.839059
Point50,-19.5238,-5.514703,166.726586
Point51,-19.377144,-5.517191,168.933675
Point52,-19.121066,-5.500725,171.130927
Point53,-18.839496,-5.479828,173.324782
Point54,-18.55558,-5.458429,175.510781
Point55,-16.838427,-5.176963,176.629719
