Name,Position X,Position Y,Position Z
Point01,14.903647,80.63232,389.396642
Point02,15.525173,79.707909,388.081562
Point03,14.38136,78.86072,386.744847
Point04,13.028732,78.113264,385.539136
Point05,11.854277,77.280556,384.221418
Point06,10.749408,76.419312,382.866972
Point07,8.159269,74.821457,380.312622
Point08,7.166852,72.668611,377.062712
Point09,7.068266,70.413052,373.729975
Point10,7.647736,68.151958,370.441115
Point11,7.966252,65.887124,367.126715
Point12,7.590575,63.646314,363.794457
Point13,6.437232,61.525651,360.57964
Point14,5.673941,59.343088,357.303505
Point15,6.363315,57.163923,354.143859
Point16,20.188095,52.296356,348.02898
Point17,33.808348,47.158275,341.499611
Point18,46.238658,41.122314,333.555259
Point19,53.279236,32.888475,321.957148
Point20,50.936936,24.380701,309.235137
Point21,37.531818,20.53005,302.529725
Point22,25.326466,16.595991,295.793424
Point23,14.700021,10.290443,285.682216
Point24,2.266475,5.239637,277.282083
Point25,-10.011394,5.56746,276.823132
Point26,-20.591325,6.62735,277.573707
Point27,-32.054622,9.103757,280.344736
Point28,-44.148573,10.584158,281.599043
Point29,-55.34602,11.669737,282.340098
Point30,-66.021143,13.844085,284.726315
Point31,-76.84724,14.878419,285.420324
Point32,-87.601552,17.136654,287.924129
Point33,-97.336343,25.039058,298.826874
Point34,-105.259207,33.592184,310.827971
Point35,-113.452259,41.549255,321.929624
Point36,-120.966117,49.987464,333.792697
Point37,-115.606331,58.574452,346.863055
Point38,-101.971078,63.354001,354.95552
Point39,-85.868871,65.259995,359.001077
Point40,-69.23375,65.626622,360.81818
Point41,-52.892037,66.380286,363.183339
Point42,-52.497935,68.452078,366.267843
Point43,-53.015793,70.645879,369.462228
Point44,-52.90922,72.827341,372.686343
Point45,-51.738938,74.87084,375.788702
Point46,-49.851424,76.730427,378.674979
Point47,-47.838583,78.544322,381.503513
Point48,-46.1844,80.476378,384.478718
Point49,-44.981642,82.524324,387.590125
Point50,-44.822746,84.71238,390.827976
Point51,-45.51144,86.000869,392.67463
Point52,-46.567803,87.231025,394.407073
Point53,-47.64098,88.454328,396.128122
Point54,-48.62873,89.675329,397.852333
Point55,-46.958745,90.279206,398.870733
