Name,Position X,Position Y,Position Z
Point01,9.093496,-23.362487,227.020025
Point02,9.284621,-24.909117,225.919883
Point03,9.273723,-25.228399,223.705311
Point04,9.240415,-25.392212,221.475043
Point05,9.159485,-25.219305,219.247026
Point06,9.06786,-24.969777,217.025089
Point07,8.850691,-25.090993,207.77573
Point08,8.615795,-25.087202,198.525312
Point09,8.410253,-25.290297,189.277278
Point10,8.273885,-25.978725,180.047087
Point11,8.229961,-27.306846,170.890573
Point12,8.205247,-28.765683,161.761752
Point13,8.235319,-30.601464,152.688648
Point14,8.325976,-32.846646,143.718804
Point15,8.454994,-35.232377,135.477581
Point16,9.600565,-45.561616,122.965049
Point17,10.234029,-52.691813,108.118324
Point18,10.673234,-58.551757,92.703388
Point19,10.918213,-63.115088,76.868769
Point20,10.835515,-65.430477,60.66407
Point21,10.231809,-64.064511,44.469426
Point22,9.294711,-60.28046,28.629985
Point23,7.787789,-52.187664,14.380283
Point24,5.997401,-41.796418,1.787726
Point25,4.467318,-31.230065,0.448404
Point26,3.118723,-21.975457,-1.058672
Point27,1.545262,-10.985495,-1.742683
Point28,-0.017148,0.029216,-1.852167
Point29,-1.486446,10.452098,-1.594098
Point30,-2.955986,20.875674,-1.341709
Point31,-4.407082,31.264431,-0.555932
Point32,-5.754865,41.235391,1.972674
Point33,-6.971997,51.954812,13.841325
Point34,-7.571722,58.858069,28.751395
Point35,-7.794674,63.270629,44.612769
Point36,-7.517655,64.212329,60.810123
Point37,-6.933864,63.03132,77.252399
Point38,-6.090007,59.964679,93.421058
Point39,-4.915166,54.441565,108.924965
Point40,-3.491555,47.00165,123.535222
Point41,-1.597086,35.617052,134.684149
Point42,-0.933607,32.465051,143.256039
Point43,-0.364232,30.033653,152.140972
Point44,0.113707,28.281028,161.210404
Point45,0.591543,26.529617,170.282602
Point46,1.014579,25.176884,179.419949
Point47,1.394128,24.13869,188.598732
Point48,1.686027,23.729331,197.832437
Point49,1.936654,23.61374,207.078909
Point50,2.1629,23.669789,216.322331
Point51,2.233603,23.574378,218.579822
Point52,2.218898,24.070118,220.770071
Point53,2.21688,24.482828,222.99702
Point54,2.274935,24.475673,225.248506
Point55,2.5395,22.806518,226.362372
