Name,Position X,Position Y,Position Z
Point01,-21.539794,4.595024,80.801563
Point02,-22.608045,5.044543,80.533623
Point03,-23.033077,5.272982,79.462968
Point04,-22.526146,5.12016,78.413989
Point05,-21.696069,4.824244,77.584373
Point06,-20.949183,4.566385,76.674611
Point07,-19.975646,4.402106,72.148016
Point08,-20.113467,4.696838,67.510784
Point09,-20.771453,5.200546,62.935767
Point10,-21.52111,5.740736,58.378426
Point11,-22.165381,6.239025,53.799984
Point12,-22.510396,6.61746,49.178531
Point13,-22.754027,6.955061,44.546946
Point14,-22.628566,7.142173,39.914171
Point15,-21.46622,6.897158,35.459905
Point16,-23.118694,7.784123,31.32024
Point17,-25.017054,8.765898,27.287225
Point18,-26.620831,9.635637,23.096288
Point19,-27.61731,10.268921,18.686383
Point20,-27.234297,10.346185,14.146799
Point21,-26.020521,10.076438,9.765518
Point22,-23.776884,9.362794,5.84734
Point23,-20.548352,8.198331,2.883422
Point24,-16.957438,6.861543,0.396043
Point25,-12.764858,5.19127,-0.379174
Point26,-8.510962,3.467055,-0.591892
Point27,-4.253997,1.731808,-0.614444
Point28,0.003556,-0.001006,-0.688981
Point29,4.013812,-1.640047,-0.625513
Point30,8.006576,-3.286761,-0.274127
Point31,11.996065,-4.933464,0.103003
Point32,15.846646,-6.557716,1.145257
Point33,19.080661,-8.055297,4.614342
Point34,21.788511,-9.364025,8.584418
Point35,22.919567,-10.069939,13.339141
Point36,22.597796,-10.194355,18.309804
Point37,21.414042,-9.959236,23.126222
Point38,19.546189,-9.433217,27.712106
Point39,16.889719,-8.561984,31.84034
Point40,13.84921,-7.517585,35.647465
Point41,10.885584,-6.506757,39.497568
Point42,10.73709,-6.686864,44.17682
Point43,9.834343,-6.556375,48.798969
Point44,8.672433,-6.317004,53.359488
Point45,7.310018,-5.992707,57.858945
Point46,5.893625,-5.645438,62.339851
Point47,4.44522,-5.284519,66.809241
Point48,3.128299,-4.979544,71.323584
Point49,2.089039,-4.791546,75.910238
Point50,1.951912,-4.976828,80.599947
Point51,2.473521,-5.231728,81.419185
Point52,2.899005,-5.450537,82.299028
Point53,2.791931,-5.45747,83.282953
Point54,2.170661,-5.242209,84.024742
Point55,1.270985,-4.888656,84.285721
