Name,Position X,Position Y,Position Z
Point01,14.920203,-3.930108,291.171938
Point02,16.991877,-2.741479,291.131353
Point03,19.308011,-2.573941,292.551046
Point04,21.516539,-2.590712,294.12747
Point05,23.830369,-2.430335,295.554574
Point06,26.176966,-2.200057,296.916571
Point07,31.11543,-1.172401,299.097879
Point08,36.03294,-0.221029,301.360664
Point09,40.903316,0.582812,303.776371
Point10,45.796618,1.464916,306.109493
Point11,50.649012,2.223936,308.56908
Point12,55.477428,2.927676,311.081517
Point13,60.412757,3.96367,313.250098
Point14,65.244277,4.658716,315.775689
Point15,70.1897,5.905709,317.685201
Point16,78.103983,10.119757,317.942417
Point17,86.293431,13.958342,318.86706
Point18,94.3216,18.23659,319.123486
Point19,102.392575,22.436548,319.50882
Point20,110.678909,25.826596,321.067531
Point21,118.832911,27.538651,324.649871
Point22,125.552727,26.584528,330.585676
Point23,130.113665,23.435066,337.77064
Point24,132.995128,19.147893,345.208145
Point25,132.528873,15.425808,349.575284
Point26,131.190775,11.497905,353.588106
Point27,129.904862,7.578862,357.626499
Point28,128.369945,3.622262,361.536922
Point29,126.779986,-0.334303,365.408538
Point30,125.561528,-4.215919,369.44722
Point31,124.299839,-8.121029,373.485095
Point32,122.478842,-12.090823,377.210702
Point33,116.505439,-18.085127,380.5661
Point34,108.949768,-23.1486,381.632987
Point35,100.671733,-26.767048,380.368253
Point36,92.623965,-27.998661,376.254638
Point37,85.734588,-27.14758,370.329415
Point38,79.568714,-25.388961,363.768814
Point39,73.259498,-23.781298,357.297703
Point40,66.880533,-22.249964,350.873765
Point41,61.201969,-20.075788,344.1321
Point42,56.695626,-20.436616,341.413879
Point43,51.994377,-21.186282,339.048931
Point44,47.248581,-22.074762,336.827729
Point45,42.482828,-23.031215,334.678222
Point46,37.72976,-23.940768,332.478482
Point47,32.964435,-24.890974,330.321395
Point48,28.242831,-25.706009,328.024576
Point49,23.492125,-26.613135,325.823439
Point50,18.660388,-27.87376,324.011183
Point51,16.365749,-28.369293,323.0204
Point52,14.041259,-29.017513,322.201213
Point53,11.714824,-29.682592,321.401924
Point54,9.389382,-30.34052,320.594313
Point55,8.020154,-29.825468,318.98034
