Name,Position X,Position Y,Position Z
Point01,19.652519,30.921869,0
Point02,20.84865,30.400608,0
Point03,21.572421,29.292004,0
Point04,21.808472,27.991816,0
Point05,21.368728,26.734473,0
Point06,20.613126,25.639103,0
Point07,19.526586,23.058469,0
Point08,18.638694,20.39571,0
Point09,17.974902,17.68017,0
Point10,17.592017,14.898439,0
Point11,17.293286,12.107129,0
Point12,17.011704,9.313172,0
Point13,16.819759,6.544832,0
Point14,17.248589,3.770679,0
Point15,17.465683,1.003213,0
Point16,20.956194,-1.450573,0
Point17,24.227989,-4.401724,0
Point18,26.788182,-7.982183,0
Point19,28.550393,-11.832241,0
Point20,26.385394,-15.641273,0
Point21,24.688433,-19.652387,0
Point22,22.039968,-23.104641,0
Point23,18.925,-25.846227,0
Point24,14.849951,-27.434827,0
Point25,10.120784,-26.742486,0
Point26,5.636764,-27.763419,0
Point27,0.774653,-28.375792,0
Point28,-4.205551,-28.251994,0
Point29,-8.377482,-27.836177,0
Point30,-12.488615,-27.096255,0
Point31,-16.623243,-26.386235,0
Point32,-20.653945,-25.400911,0
Point33,-24.752312,-22.550392,0
Point34,-27.530669,-18.416164,0
Point35,-30.271677,-14.337733,0
Point36,-28.405371,-10.038404,0
Point37,-24.782894,-6.568338,0
Point38,-21.214871,-3.057238,0
Point39,-17.942191,0.732282,0
Point40,-15.682667,5.207381,0
Point41,-14.001059,9.939537,0
Point42,-13.383206,12.263301,0
Point43,-12.952852,14.64086,0
Point44,-12.725617,17.049128,0
Point45,-12.462126,19.45375,0
Point46,-12.203044,21.85886,0
Point47,-11.998681,24.267454,0
Point48,-11.714224,26.667638,0
Point49,-11.4753,29.072146,0
Point50,-11.152183,31.462717,0
Point51,-10.970526,32.822503,0
Point52,-10.634675,34.152141,0
Point53,-10.264539,35.470342,0
Point54,-9.444969,36.550826,0
Point55,-8.18724,37.046481,0
