Name,Position X,Position Y,Position Z
Point01,-9.347494,18.294144,145.500042
Point02,-9.649105,19.699439,144.078316
Point03,-9.595372,19.762308,141.969751
Point04,-9.439734,19.412821,139.870689
Point05,-9.260075,18.963656,137.792525
Point06,-9.064896,18.449697,135.730831
Point07,-8.76572,17.916343,130.65196
Point08,-8.487905,17.470551,125.562568
Point09,-8.209939,17.024121,120.473429
Point10,-7.966704,16.719378,115.372382
Point11,-7.835888,16.869457,110.261488
Point12,-7.809263,17.436201,105.17815
Point13,-7.903089,18.478655,100.171809
Point14,-8.103097,19.935213,95.272919
Point15,-8.433401,21.891067,90.572599
Point16,-9.717288,28.44533,80.20568
Point17,-10.906085,34.655903,69.537732
Point18,-12.062716,40.745232,58.8056
Point19,-13.113525,46.438778,47.838771
Point20,-13.598546,49.964826,36.005025
Point21,-12.910432,48.81172,23.768257
Point22,-11.062361,42.753121,13.235974
Point23,-8.432547,33.107967,5.967777
Point24,-5.541071,22.091627,1.079349
Point25,-4.157367,16.652701,-0.000011
Point26,-2.769045,11.108665,-0.427262
Point27,-1.38214,5.5575,-0.75767
Point28,0.003254,0.002213,-1.01103
Point29,1.684571,-6.770548,-1.085855
Point30,3.351609,-13.538656,-0.761435
Point31,4.999449,-20.279936,-0.055335
Point32,6.527673,-26.720699,2.023389
Point33,8.825275,-36.783559,8.010273
Point34,10.633756,-45.169196,16.228838
Point35,11.286251,-49.275075,27.340372
Point36,10.818917,-48.967926,39.240065
Point37,9.603052,-45.567821,50.587292
Point38,7.881173,-40.003344,61.006811
Point39,6.070099,-34.050866,71.213883
Point40,4.209741,-27.880785,81.279301
Point41,2.127179,-20.690643,90.412308
Point42,1.624543,-19.272953,95.012029
Point43,1.231847,-18.319068,99.764773
Point44,0.934132,-17.757553,104.586885
Point45,0.684841,-17.394357,109.431377
Point46,0.473868,-17.187131,114.286366
Point47,0.321887,-17.218754,119.147892
Point48,0.22779,-17.48317,124.003963
Point49,0.171798,-17.899956,128.849857
Point50,0.156923,-18.480415,133.679186
Point51,0.197773,-18.91569,135.718674
Point52,0.256679,-19.421659,137.742004
Point53,0.279295,-19.7853,139.79601
Point54,0.267523,-20.012711,141.868843
Point55,-0.052407,-18.919313,143.356166
